Common Name,Scientific Name,Status,Group
Mammals,,,
Addax,Addax nasomaculatus,Endangered,Mammals
"Anoa, lowland",Bubalus depressicornis,Endangered,Mammals
"Anoa, mountain",Bubalus quarlesi,Endangered,Mammals
"Antelope, giant sable",Hippotragus niger variani,Endangered,Mammals
"Antelope, Mongolian saiga",Saiga tatarica mongolica,Endangered,Mammals
"Antelope, Tibetan",Panthalops hodgsonii,Endangered,Mammals
Argali,Ovis ammon,Endangered,Mammals
Argali,Ovis ammon,Threatened,Mammals
"Armadillo, giant",Priodontes maximus,Endangered,Mammals
"Armadillo, pink fairy",Chlamyphorus truncatus,Endangered,Mammals
"Ass, African wild",Equus africanus,Endangered,Mammals
"Ass, Asian wild",Equus hemionus,Endangered,Mammals
Avahi,Avahi laniger (entire genus),Endangered,Mammals
Aye-aye,Daubentonia madagascariensis,Endangered,Mammals
Babirusa,Babyrousa babyrussa,Endangered,Mammals
"Baboon, gelada",Theropithecus gelada,Threatened,Mammals
"Bandicoot, barred",Perameles bougainville,Endangered,Mammals
"Bandicoot, desert",Perameles eremiana,Endangered,Mammals
"Bandicoot, lesser rabbit",Macrotis leucura,Endangered,Mammals
"Bandicoot, pig-footed",Chaeropus ecaudatus,Endangered,Mammals
"Bandicoot, rabbit",Macrotis lagotis,Endangered,Mammals
Banteng,Bos javanicus,Endangered,Mammals
"Bat, bumblebee",Craseonycteris thonglongyai,Endangered,Mammals
"Bat, Florida bonneted",Eumops floridanus,Endangered,Mammals
"Bat, gray",Myotis grisescens,Endangered,Mammals
"Bat, Hawaiian hoary",Lasiurus cinereus semotus,Endangered,Mammals
"Bat, Indiana",Myotis sodalis,Endangered,Mammals
"Bat, Mexican long-nosed",Leptonycteris nivalis,Endangered,Mammals
"Bat, northern long-eared",Myotis septentrionalis,Endangered,Mammals
"Bat, Ozark big-eared",Corynorhinus (=Plecotus) townsendii ingens,Endangered,Mammals
"Bat, Pacific sheath-tailed (Mariana subspecies)",Emballonura semicaudata rotensis,Endangered,Mammals
"Bat, Pacific sheath-tailed (South Pacific subspecies)",Emballonura semicaudata semicaudata,Endangered,Mammals
"Bat, Singapore roundleaf horseshoe",Hipposideros ridleyi,Endangered,Mammals
"Bat, Virginia big-eared",Corynorhinus (=Plecotus) townsendii virginianus,Endangered,Mammals
"Bear, Baluchistan",Ursus thibetanus gedrosianus,Endangered,Mammals
"Bear, brown",Ursus arctos pruinosus,Endangered,Mammals
"Bear, brown",Ursus arctos arctos,Endangered,Mammals
"Bear, grizzly",Ursus arctos horribilis,Threatened,Mammals
"Bear, polar",Ursus maritimus,Threatened,Mammals
"Beaver, Mongolian",Castor fiber birulai,Endangered,Mammals
"Beaver, Point Arena mountain",Aplodontia rufa nigra,Endangered,Mammals
"Bison, wood",Bison bison athabascae,Threatened,Mammals
"Bison, wood",Bison bison athabascae,XN,Mammals
"Bobcat, Mexican",Lynx (=Felis) rufus escuinapae,Endangered,Mammals
Bontebok,Damaliscus pygargus (=dorcas) dorcas,Endangered,Mammals
"Camel, bactrian",Camelus bactrianus,Endangered,Mammals
